Instance,LDEG,GDEG,Dummy-HyperHeuristic,Genetic-HyperHeuristic
50_ep0.25_0_gilbert_4.in,0.94,0.94,0.94,0.94
1000_r0.065_0_geom_2.gin,0.982,0.982,0.982,0.982
1000_ep0.0125_0_gilbert_5.in,0.996,0.996,0.996,0.996
500_ep0.015_0_gilbert_8.in,0.99,0.99,0.99,0.99
1000_ep0.01_0_gilbert_3.in,0.995,0.995,0.995,0.995
100_r0.219_0_geom_5.gin,0.92,0.93,0.93,0.93
50_r0.259_0_geom_2.gin,0.88,0.88,0.88,0.88
100_ep0.1_0_gilbert_9.in,0.96,0.97,0.96,0.97
500_r0.093_0_geom_8.gin,0.974,0.974,0.974,0.974
100_ep0.075_0_gilbert_6.in,0.96,0.96,0.96,0.96
500_ep0.02_0_gilbert_9.in,0.992,0.992,0.992,0.992
500_r0.083_0_geom_6.gin,0.006,0.958,0.958,0.958
500_ep0.025_0_gilbert_1.in,0.992,0.992,0.992,0.992
500_r0.083_0_geom_7.gin,0.952,0.958,0.952,0.958
500_r0.093_0_geom_9.gin,0.966,0.966,0.966,0.966
100_r0.219_0_geom_4.gin,0.95,0.95,0.95,0.95
50_r0.259_0_geom_3.gin,0.32,0.76,0.32,0.76
1000_r0.065_0_geom_3.gin,0.98,0.98,0.98,0.98
1000_ep0.0075_0_gilbert_8.in,0.994,0.994,0.994,0.994
1000_r0.065_0_geom_1.gin,0.981,0.981,0.981,0.981
50_r0.259_0_geom_1.gin,0.88,0.88,0.88,0.88
100_r0.219_0_geom_6.gin,0.93,0.93,0.93,0.93
1000_ep0.0125_0_gilbert_1.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_7.in,0.996,0.996,0.996,0.996
500_r0.083_0_geom_5.gin,0.968,0.968,0.968,0.968
100_ep0.075_0_gilbert_2.in,0.96,0.96,0.96,0.96
500_r0.083_0_geom_4.gin,0.962,0.964,0.962,0.964
500_ep0.025_0_gilbert_5.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_8.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_9.in,0.92,0.92,0.92,0.92
100_r0.219_0_geom_7.gin,0.95,0.95,0.95,0.95
50_r0.299_0_geom_10.gin,0.92,0.92,0.92,0.92
1000_r0.065_0_geom_4.gin,0.981,0.981,0.981,0.981
50_ep0.25_0_gilbert_1.in,0.94,0.94,0.94,0.94
100_r0.219_0_geom_3.gin,0.94,0.94,0.94,0.94
50_r0.259_0_geom_4.gin,0.86,0.88,0.86,0.88
1000_ep0.01_0_gilbert_6.in,0.995,0.995,0.995,0.995
100_ep0.075_0_gilbert_3.in,0.96,0.96,0.96,0.96
100_ep0.125_0_gilbert_10.in,0.97,0.97,0.97,0.97
500_ep0.025_0_gilbert_4.in,0.992,0.992,0.992,0.992
500_r0.083_0_geom_1.gin,0.964,0.964,0.964,0.964
50_ep0.2_0_gilbert_9.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_8.in,0.94,0.94,0.94,0.94
100_r0.219_0_geom_2.gin,0.94,0.94,0.94,0.94
50_r0.259_0_geom_5.gin,0.72,0.74,0.74,0.74
500_r0.071_0_geom_10.gin,0.948,0.95,0.948,0.95
1000_r0.065_0_geom_5.gin,0.984,0.983,0.984,0.983
50_ep0.25_0_gilbert_5.in,0.94,0.94,0.94,0.94
1000_ep0.0125_0_gilbert_4.in,0.995,0.996,0.996,0.996
1000_ep0.01_0_gilbert_2.in,0.995,0.995,0.995,0.995
1000_r0.065_0_geom_7.gin,0.98,0.98,0.98,0.98
500_ep0.015_0_gilbert_9.in,0.99,0.99,0.99,0.99
50_r0.259_0_geom_7.gin,0.18,0.86,0.86,0.86
100_ep0.1_0_gilbert_8.in,0.97,0.97,0.97,0.97
100_ep0.075_0_gilbert_7.in,0.96,0.96,0.96,0.96
500_ep0.02_0_gilbert_8.in,0.992,0.992,0.992,0.992
500_r0.083_0_geom_3.gin,0.968,0.958,0.958,0.958
500_r0.083_0_geom_2.gin,0.964,0.964,0.964,0.964
50_ep0.15_0_gilbert_10.in,0.94,0.94,0.94,0.94
50_r0.259_0_geom_6.gin,0.9,0.88,0.9,0.88
100_r0.219_0_geom_1.gin,0.93,0.93,0.93,0.93
1000_r0.065_0_geom_6.gin,0.979,0.979,0.979,0.979
1000_ep0.01_0_gilbert_10.in,0.995,0.996,0.996,0.996
1000_ep0.0075_0_gilbert_9.in,0.994,0.995,0.995,0.995
500_ep0.02_0_gilbert_3.in,0.992,0.992,0.992,0.992
100_ep0.1_0_gilbert_3.in,0.97,0.97,0.97,0.97
500_r0.071_0_geom_2.gin,0.954,0.956,0.954,0.956
100_r0.195_0_geom_10.gin,0.94,0.94,0.94,0.94
500_ep0.015_0_gilbert_2.in,0.988,0.99,0.99,0.99
1000_r0.058_0_geom_3.gin,0.967,0.969,0.969,0.969
1000_ep0.01_0_gilbert_9.in,0.995,0.995,0.995,0.995
100_r0.195_0_geom_8.gin,0.89,0.91,0.91,0.91
50_r0.334_0_geom_8.gin,0.92,0.92,0.92,0.92
1000_r0.05_0_geom_8.gin,0.967,0.968,0.967,0.968
1000_r0.05_0_geom_9.gin,0.945,0.956,0.945,0.956
500_ep0.02_0_gilbert_10.in,0.992,0.992,0.992,0.992
100_r0.169_0_geom_1.gin,0.07,0.91,0.91,0.91
50_r0.334_0_geom_9.gin,0.92,0.92,0.92,0.92
100_r0.195_0_geom_9.gin,0.94,0.94,0.94,0.94
1000_ep0.0075_0_gilbert_2.in,0.995,0.995,0.995,0.995
1000_r0.058_0_geom_2.gin,0.972,0.973,0.973,0.973
50_ep0.15_0_gilbert_7.in,0.94,0.94,0.94,0.94
100_r0.219_0_geom_10.gin,0.93,0.93,0.93,0.93
500_r0.071_0_geom_3.gin,0.95,0.952,0.95,0.952
50_ep0.2_0_gilbert_6.in,0.94,0.94,0.94,0.94
100_ep0.125_0_gilbert_1.in,0.97,0.97,0.97,0.97
1000_r0.058_0_geom_10.gin,0.974,0.974,0.974,0.974
500_ep0.015_0_gilbert_10.in,0.99,0.99,0.99,0.99
500_ep0.02_0_gilbert_7.in,0.99,0.99,0.99,0.99
100_ep0.075_0_gilbert_8.in,0.96,0.96,0.96,0.96
100_ep0.1_0_gilbert_7.in,0.96,0.96,0.96,0.96
500_r0.071_0_geom_1.gin,0.958,0.956,0.958,0.956
500_ep0.015_0_gilbert_6.in,0.99,0.992,0.99,0.992
100_r0.169_0_geom_3.gin,0.9,0.91,0.9,0.91
1000_ep0.0075_0_gilbert_6.in,0.994,0.994,0.994,0.994
100_r0.169_0_geom_2.gin,0.87,0.84,0.84,0.84
1000_r0.058_0_geom_1.gin,0.976,0.976,0.976,0.976
100_ep0.125_0_gilbert_5.in,0.97,0.97,0.97,0.97
50_ep0.15_0_gilbert_3.in,0.92,0.92,0.92,0.92
1000_r0.065_0_geom_10.gin,0.981,0.981,0.981,0.981
50_ep0.2_0_gilbert_2.in,0.94,0.94,0.94,0.94
500_ep0.02_0_gilbert_6.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_10.in,0.94,0.94,0.94,0.94
100_ep0.075_0_gilbert_9.in,0.96,0.96,0.96,0.96
100_ep0.1_0_gilbert_6.in,0.97,0.96,0.97,0.96
500_r0.071_0_geom_4.gin,0.932,0.926,0.926,0.926
1000_r0.058_0_geom_5.gin,0.97,0.969,0.969,0.969
500_ep0.015_0_gilbert_7.in,0.99,0.99,0.99,0.99
100_r0.169_0_geom_6.gin,0.89,0.92,0.89,0.92
1000_ep0.0075_0_gilbert_7.in,0.994,0.994,0.994,0.994
100_r0.169_0_geom_7.gin,0.91,0.92,0.91,0.92
1000_r0.05_0_geom_10.gin,0.975,0.976,0.975,0.976
1000_r0.058_0_geom_4.gin,0.974,0.974,0.974,0.974
500_r0.071_0_geom_5.gin,0.968,0.968,0.968,0.968
100_ep0.125_0_gilbert_4.in,0.97,0.97,0.97,0.97
50_ep0.15_0_gilbert_2.in,0.92,0.92,0.92,0.92
50_ep0.2_0_gilbert_3.in,0.92,0.92,0.92,0.92
500_ep0.02_0_gilbert_2.in,0.992,0.99,0.99,0.99
50_r0.299_0_geom_9.gin,0.9,0.9,0.9,0.9
100_ep0.1_0_gilbert_2.in,0.96,0.96,0.96,0.96
50_r0.259_0_geom_10.gin,0.86,0.88,0.88,0.88
500_r0.071_0_geom_7.gin,0.95,0.95,0.95,0.95
100_ep0.075_0_gilbert_10.in,0.96,0.96,0.96,0.96
1000_r0.058_0_geom_6.gin,0.978,0.978,0.978,0.978
1000_ep0.01_0_gilbert_8.in,0.995,0.995,0.995,0.995
500_ep0.015_0_gilbert_3.in,0.99,0.99,0.99,0.99
100_r0.169_0_geom_5.gin,0.91,0.91,0.91,0.91
100_r0.169_0_geom_4.gin,0.88,0.88,0.88,0.88
1000_ep0.0075_0_gilbert_3.in,0.994,0.994,0.994,0.994
1000_r0.058_0_geom_7.gin,0.963,0.965,0.963,0.965
50_ep0.15_0_gilbert_6.in,0.94,0.94,0.94,0.94
500_r0.071_0_geom_6.gin,0.948,0.948,0.948,0.948
50_ep0.2_0_gilbert_7.in,0.94,0.94,0.94,0.94
50_r0.334_0_geom_10.gin,0.94,0.94,0.94,0.94
50_r0.299_0_geom_8.gin,0.92,0.92,0.92,0.92
50_r0.299_0_geom_5.gin,0.92,0.92,0.92,0.92
100_ep0.1_0_gilbert_5.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_5.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_10.in,0.992,0.992,0.992,0.992
100_r0.195_0_geom_1.gin,0.94,0.94,0.94,0.94
50_ep0.25_0_gilbert_8.in,0.94,0.94,0.94,0.94
50_r0.334_0_geom_1.gin,0.94,0.94,0.94,0.94
100_r0.169_0_geom_9.gin,0.1,0.91,0.1,0.91
1000_r0.05_0_geom_1.gin,0.97,0.972,0.972,0.972
1000_ep0.0125_0_gilbert_9.in,0.996,0.996,0.996,0.996
500_ep0.015_0_gilbert_4.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_10.in,0.995,0.995,0.995,0.995
100_r0.169_0_geom_8.gin,0.88,0.91,0.91,0.91
1000_ep0.0075_0_gilbert_4.in,0.001,0.994,0.001,0.994
100_ep0.1_0_gilbert_10.in,0.96,0.96,0.96,0.96
100_ep0.125_0_gilbert_7.in,0.97,0.97,0.97,0.97
50_ep0.15_0_gilbert_1.in,0.92,0.94,0.94,0.94
50_r0.299_0_geom_4.gin,0.04,0.88,0.88,0.88
100_ep0.1_0_gilbert_1.in,0.97,0.97,0.97,0.97
50_r0.299_0_geom_6.gin,0.9,0.9,0.9,0.9
500_ep0.02_0_gilbert_1.in,0.992,0.992,0.992,0.992
500_r0.071_0_geom_8.gin,0.006,0.962,0.962,0.962
1000_r0.058_0_geom_9.gin,0.969,0.969,0.969,0.969
100_r0.195_0_geom_2.gin,0.93,0.93,0.93,0.93
50_r0.334_0_geom_2.gin,0.9,0.9,0.9,0.9
1000_r0.05_0_geom_2.gin,0.966,0.967,0.966,0.967
1000_r0.05_0_geom_3.gin,0.975,0.976,0.975,0.976
50_r0.334_0_geom_3.gin,0.94,0.94,0.94,0.94
100_r0.195_0_geom_3.gin,0.91,0.91,0.91,0.91
1000_r0.058_0_geom_8.gin,0.977,0.977,0.977,0.977
500_r0.071_0_geom_9.gin,0.948,0.948,0.948,0.948
500_ep0.025_0_gilbert_9.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_4.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_5.in,0.92,0.92,0.92,0.92
100_ep0.125_0_gilbert_3.in,0.97,0.97,0.97,0.97
50_r0.299_0_geom_7.gin,0.9,0.9,0.9,0.9
50_r0.299_0_geom_3.gin,0.92,0.92,0.92,0.92
500_ep0.015_0_gilbert_1.in,0.99,0.988,0.99,0.988
100_r0.195_0_geom_7.gin,0.91,0.91,0.91,0.91
50_r0.334_0_geom_7.gin,0.9,0.9,0.9,0.9
1000_r0.05_0_geom_7.gin,0.966,0.964,0.964,0.964
1000_r0.05_0_geom_6.gin,0.96,0.962,0.962,0.962
50_r0.334_0_geom_6.gin,0.94,0.94,0.94,0.94
100_r0.195_0_geom_6.gin,0.94,0.94,0.94,0.94
1000_ep0.0075_0_gilbert_1.in,0.994,0.994,0.994,0.994
500_ep0.025_0_gilbert_8.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_5.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_4.in,0.92,0.94,0.94,0.94
100_ep0.125_0_gilbert_2.in,0.97,0.97,0.97,0.97
50_r0.299_0_geom_2.gin,0.9,0.9,0.9,0.9
100_ep0.1_0_gilbert_4.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_4.in,0.992,0.992,0.992,0.992
100_r0.195_0_geom_4.gin,0.89,0.91,0.89,0.91
50_ep0.25_0_gilbert_9.in,0.96,0.96,0.96,0.96
50_r0.334_0_geom_4.gin,0.92,0.92,0.92,0.92
1000_ep0.0125_0_gilbert_8.in,0.996,0.996,0.996,0.996
1000_r0.05_0_geom_4.gin,0.954,0.957,0.954,0.957
500_ep0.015_0_gilbert_5.in,0.99,0.99,0.99,0.99
1000_r0.05_0_geom_5.gin,0.963,0.964,0.964,0.964
1000_ep0.0075_0_gilbert_5.in,0.994,0.994,0.994,0.994
50_r0.334_0_geom_5.gin,0.92,0.92,0.92,0.92
100_r0.195_0_geom_5.gin,0.94,0.94,0.94,0.94
100_ep0.125_0_gilbert_6.in,0.97,0.97,0.97,0.97
50_ep0.2_0_gilbert_1.in,0.94,0.94,0.94,0.94
50_r0.299_0_geom_1.gin,0.8,0.88,0.8,0.88
1000_ep0.0125_0_gilbert_3.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_5.in,0.995,0.995,0.995,0.995
50_ep0.25_0_gilbert_2.in,0.94,0.94,0.94,0.94
500_r0.093_0_geom_1.gin,0.97,0.972,0.97,0.972
500_ep0.025_0_gilbert_7.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_7.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_1.in,0.996,0.996,0.996,0.996
50_ep0.25_0_gilbert_6.in,0.96,0.96,0.96,0.96
1000_r0.065_0_geom_8.gin,0.982,0.982,0.982,0.982
50_r0.259_0_geom_8.gin,0.64,0.74,0.74,0.74
500_r0.093_0_geom_2.gin,0.968,0.968,0.968,0.968
100_ep0.075_0_gilbert_4.in,0.96,0.96,0.96,0.96
500_r0.093_0_geom_10.gin,0.972,0.972,0.972,0.972
500_ep0.025_0_gilbert_3.in,0.992,0.992,0.992,0.992
100_ep0.125_0_gilbert_9.in,0.96,0.97,0.97,0.97
500_r0.093_0_geom_3.gin,0.976,0.976,0.976,0.976
50_r0.259_0_geom_9.gin,0.9,0.9,0.9,0.9
1000_ep0.0125_0_gilbert_10.in,0.995,0.995,0.995,0.995
1000_r0.065_0_geom_9.gin,0.984,0.984,0.984,0.984
1000_ep0.0125_0_gilbert_6.in,0.996,0.996,0.996,0.996
50_ep0.25_0_gilbert_7.in,0.94,0.96,0.96,0.96
500_r0.093_0_geom_7.gin,0.968,0.97,0.97,0.97
100_ep0.075_0_gilbert_5.in,0.96,0.96,0.96,0.96
500_r0.083_0_geom_9.gin,0.97,0.97,0.97,0.97
500_ep0.025_0_gilbert_2.in,0.992,0.992,0.992,0.992
500_r0.083_0_geom_8.gin,0.968,0.968,0.968,0.968
500_r0.093_0_geom_6.gin,0.968,0.97,0.968,0.97
100_ep0.125_0_gilbert_8.in,0.97,0.97,0.97,0.97
500_r0.083_0_geom_10.gin,0.964,0.962,0.962,0.962
50_ep0.25_0_gilbert_10.in,0.94,0.94,0.94,0.94
100_r0.219_0_geom_9.gin,0.93,0.93,0.93,0.93
100_r0.169_0_geom_10.gin,0.91,0.91,0.91,0.91
1000_ep0.0125_0_gilbert_2.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_4.in,0.995,0.995,0.995,0.995
50_ep0.25_0_gilbert_3.in,0.94,0.94,0.94,0.94
500_r0.093_0_geom_4.gin,0.968,0.97,0.968,0.97
100_ep0.075_0_gilbert_1.in,0.96,0.96,0.96,0.96
500_r0.093_0_geom_5.gin,0.972,0.972,0.972,0.972
500_ep0.025_0_gilbert_6.in,0.992,0.992,0.992,0.992
100_r0.219_0_geom_8.gin,0.93,0.93,0.93,0.93
1000_ep0.0125_0_gilbert_5.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_6.in,0.88,0.9,0.88,0.9
500_ep0.015_0_gilbert_8.in,0.99,0.99,0.99,0.99
1000_ep0.01_0_gilbert_3.in,0.995,0.995,0.995,0.995
100_ep0.1_0_gilbert_9.in,0.96,0.97,0.96,0.97
100_ep0.075_0_gilbert_6.in,0.96,0.96,0.96,0.96
500_ep0.02_0_gilbert_9.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_1.in,0.992,0.992,0.992,0.992
100_ep0.05_0_gilbert_8.in,0.94,0.95,0.94,0.95
1000_ep0.0075_0_gilbert_8.in,0.994,0.994,0.994,0.994
1000_ep0.0125_0_gilbert_1.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_7.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_2.in,0.9,0.9,0.9,0.9
100_ep0.075_0_gilbert_2.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_5.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_8.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_9.in,0.92,0.92,0.92,0.92
50_ep0.1_0_gilbert_3.in,0.86,0.88,0.88,0.88
1000_ep0.01_0_gilbert_6.in,0.995,0.995,0.995,0.995
100_ep0.075_0_gilbert_3.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_4.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_9.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_8.in,0.94,0.94,0.94,0.94
1000_ep0.0125_0_gilbert_4.in,0.995,0.996,0.995,0.996
1000_ep0.01_0_gilbert_2.in,0.995,0.995,0.995,0.995
500_ep0.015_0_gilbert_9.in,0.99,0.99,0.99,0.99
50_ep0.1_0_gilbert_7.in,0.92,0.92,0.92,0.92
100_ep0.1_0_gilbert_8.in,0.97,0.97,0.97,0.97
100_ep0.075_0_gilbert_7.in,0.96,0.96,0.96,0.96
500_ep0.02_0_gilbert_8.in,0.992,0.992,0.992,0.992
50_ep0.15_0_gilbert_10.in,0.94,0.94,0.94,0.94
100_ep0.05_0_gilbert_9.in,0.92,0.94,0.94,0.94
1000_ep0.01_0_gilbert_10.in,0.995,0.996,0.996,0.996
1000_ep0.0075_0_gilbert_9.in,0.994,0.995,0.994,0.995
500_ep0.02_0_gilbert_3.in,0.992,0.992,0.992,0.992
100_ep0.1_0_gilbert_3.in,0.97,0.97,0.97,0.97
500_ep0.015_0_gilbert_2.in,0.988,0.99,0.99,0.99
1000_ep0.01_0_gilbert_9.in,0.995,0.995,0.995,0.995
100_ep0.05_0_gilbert_2.in,0.95,0.95,0.95,0.95
500_ep0.02_0_gilbert_10.in,0.992,0.992,0.992,0.992
1000_ep0.0075_0_gilbert_2.in,0.995,0.995,0.995,0.995
50_ep0.15_0_gilbert_7.in,0.94,0.94,0.94,0.94
50_ep0.2_0_gilbert_6.in,0.94,0.94,0.94,0.94
500_ep0.015_0_gilbert_10.in,0.99,0.99,0.99,0.99
500_ep0.02_0_gilbert_7.in,0.99,0.99,0.99,0.99
100_ep0.075_0_gilbert_8.in,0.96,0.96,0.96,0.96
100_ep0.1_0_gilbert_7.in,0.96,0.96,0.96,0.96
500_ep0.015_0_gilbert_6.in,0.99,0.992,0.99,0.992
50_ep0.1_0_gilbert_8.in,0.88,0.88,0.88,0.88
1000_ep0.0075_0_gilbert_6.in,0.994,0.994,0.994,0.994
100_ep0.05_0_gilbert_6.in,0.95,0.95,0.95,0.95
50_ep0.15_0_gilbert_3.in,0.92,0.92,0.92,0.92
50_ep0.2_0_gilbert_2.in,0.94,0.94,0.94,0.94
500_ep0.02_0_gilbert_6.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_10.in,0.94,0.94,0.94,0.94
100_ep0.075_0_gilbert_9.in,0.96,0.96,0.96,0.96
100_ep0.1_0_gilbert_6.in,0.97,0.96,0.96,0.96
50_ep0.1_0_gilbert_9.in,0.9,0.92,0.92,0.92
500_ep0.015_0_gilbert_7.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_7.in,0.994,0.994,0.994,0.994
100_ep0.05_0_gilbert_7.in,0.93,0.94,0.93,0.94
50_ep0.15_0_gilbert_2.in,0.92,0.92,0.92,0.92
50_ep0.2_0_gilbert_3.in,0.92,0.92,0.92,0.92
500_ep0.02_0_gilbert_2.in,0.992,0.99,0.99,0.99
100_ep0.1_0_gilbert_2.in,0.96,0.96,0.96,0.96
100_ep0.075_0_gilbert_10.in,0.96,0.96,0.96,0.96
1000_ep0.01_0_gilbert_8.in,0.995,0.995,0.995,0.995
500_ep0.015_0_gilbert_3.in,0.99,0.99,0.99,0.99
100_ep0.05_0_gilbert_3.in,0.95,0.95,0.95,0.95
1000_ep0.0075_0_gilbert_3.in,0.994,0.994,0.994,0.994
50_ep0.15_0_gilbert_6.in,0.94,0.94,0.94,0.94
50_ep0.2_0_gilbert_7.in,0.94,0.94,0.94,0.94
100_ep0.05_0_gilbert_10.in,0.94,0.95,0.94,0.95
100_ep0.1_0_gilbert_5.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_5.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_10.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_9.in,0.996,0.996,0.996,0.996
500_ep0.015_0_gilbert_4.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_10.in,0.995,0.995,0.995,0.995
1000_ep0.0075_0_gilbert_4.in,0.001,0.994,0.001,0.994
100_ep0.05_0_gilbert_4.in,0.95,0.95,0.95,0.95
100_ep0.1_0_gilbert_10.in,0.96,0.96,0.96,0.96
50_ep0.15_0_gilbert_1.in,0.92,0.94,0.94,0.94
100_ep0.1_0_gilbert_1.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_1.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_9.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_4.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_5.in,0.92,0.92,0.92,0.92
500_ep0.015_0_gilbert_1.in,0.99,0.988,0.988,0.988
100_ep0.05_0_gilbert_1.in,0.93,0.93,0.93,0.93
1000_ep0.0075_0_gilbert_1.in,0.994,0.994,0.994,0.994
500_ep0.025_0_gilbert_8.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_5.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_4.in,0.92,0.94,0.94,0.94
100_ep0.1_0_gilbert_4.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_4.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_8.in,0.996,0.996,0.996,0.996
500_ep0.015_0_gilbert_5.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_5.in,0.994,0.994,0.994,0.994
100_ep0.05_0_gilbert_5.in,0.96,0.96,0.96,0.96
50_ep0.2_0_gilbert_1.in,0.94,0.94,0.94,0.94
1000_ep0.0125_0_gilbert_3.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_5.in,0.995,0.995,0.995,0.995
500_ep0.025_0_gilbert_7.in,0.992,0.992,0.992,0.992
50_ep0.1_0_gilbert_10.in,0.92,0.92,0.92,0.92
1000_ep0.0125_0_gilbert_7.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_1.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_4.in,0.9,0.92,0.92,0.92
100_ep0.075_0_gilbert_4.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_3.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_10.in,0.995,0.995,0.995,0.995
1000_ep0.0125_0_gilbert_6.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_5.in,0.9,0.92,0.92,0.92
100_ep0.075_0_gilbert_5.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_2.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_2.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_4.in,0.995,0.995,0.995,0.995
50_ep0.1_0_gilbert_1.in,0.88,0.88,0.88,0.88
100_ep0.075_0_gilbert_1.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_6.in,0.992,0.992,0.992,0.992
